dep_lat,dep_lon,arr_lat,arr_lon,flight_nb
25.253,55.364,-33.946,151.177,376
-33.946,151.177,-37.008,174.792,377
-37.008,174.792,-33.946,151.177,378
-33.946,151.177,25.253,55.364,379
25.253,55.364,53.349,-2.28,380
53.349,-2.28,25.253,55.364,381
25.253,55.364,43.677,-79.631,382
43.677,-79.631,25.253,55.364,383
25.253,55.364,13.681,100.747,384
13.681,100.747,25.253,55.364,385
25.253,55.364,53.349,-2.28,386
53.349,-2.28,25.253,55.364,387
25.253,55.364,33.943,-118.408,388
33.943,-118.408,25.253,55.364,389
25.253,55.364,49.013,2.55,390
49.013,2.55,25.253,55.364,391
25.253,55.364,49.013,2.55,392
49.013,2.55,25.253,55.364,393
25.253,55.364,53.349,-2.28,394
53.349,-2.28,25.253,55.364,395
25.253,55.364,53.349,-2.28,396
53.349,-2.28,25.253,55.364,397
25.253,55.364,48.354,11.786,398
48.354,11.786,25.253,55.364,399
25.253,55.364,47.458,8.548,400
47.458,8.548,25.253,55.364,401
25.253,55.364,-26.139,28.246,402
-26.139,28.246,25.253,55.364,403
25.253,55.364,49.013,2.55,404
49.013,2.55,25.253,55.364,405
25.253,55.364,51.471,-0.462,406
51.471,-0.462,25.253,55.364,407
25.253,55.364,21.68,39.157,408
21.68,39.157,25.253,55.364,409
25.253,55.364,51.471,-0.462,410
51.471,-0.462,25.253,55.364,411
25.253,55.364,55.409,37.906,412
55.409,37.906,25.253,55.364,413
25.253,55.364,29.227,47.969,414
29.227,47.969,25.253,55.364,415
25.253,55.364,30.122,31.406,416
30.122,31.406,25.253,55.364,417
25.253,55.364,4.192,73.529,418
4.192,73.529,7.181,79.884,419
7.181,79.884,4.192,73.529,420
4.192,73.529,25.253,55.364,421
25.253,55.364,49.013,2.55,422
49.013,2.55,25.253,55.364,423
25.253,55.364,52.309,4.764,424
52.309,4.764,25.253,55.364,425
25.253,55.364,1.35,103.994,426
1.35,103.994,25.253,55.364,427
25.253,55.364,21.68,39.157,428
21.68,39.157,25.253,55.364,429
25.253,55.364,53.349,-2.28,430
53.349,-2.28,25.253,55.364,431
25.253,55.364,33.943,-118.408,432
33.943,-118.408,25.253,55.364,433
25.253,55.364,-33.946,151.177,434
-33.946,151.177,25.253,55.364,435
25.253,55.364,51.148,-0.19,436
51.148,-0.19,25.253,55.364,437
25.253,55.364,37.469,126.451,438
37.469,126.451,25.253,55.364,439
25.253,55.364,40.08,116.585,440
40.08,116.585,25.253,55.364,441
25.253,55.364,21.68,39.157,442
21.68,39.157,25.253,55.364,443
25.253,55.364,40.64,-73.779,444
40.64,-73.779,25.253,55.364,445
25.253,55.364,-33.946,151.177,446
-33.946,151.177,25.253,55.364,447
25.253,55.364,-33.946,151.177,448
-33.946,151.177,25.253,55.364,449
25.253,55.364,-37.673,144.843,450
-37.673,144.843,-37.008,174.792,451
-37.008,174.792,-37.673,144.843,452
-37.673,144.843,25.253,55.364,453
25.253,55.364,53.349,-2.28,454
53.349,-2.28,25.253,55.364,455
25.253,55.364,48.354,11.786,456
48.354,11.786,25.253,55.364,457
25.253,55.364,51.148,-0.19,458
51.148,-0.19,25.253,55.364,459
25.253,55.364,48.354,11.786,460
48.354,11.786,25.253,55.364,461
25.253,55.364,41.8,12.239,462
41.8,12.239,25.253,55.364,463
25.253,55.364,49.013,2.55,464
49.013,2.55,25.253,55.364,465
25.253,55.364,21.68,39.157,466
21.68,39.157,25.253,55.364,467
25.253,55.364,53.349,-2.28,468
53.349,-2.28,25.253,55.364,469
25.253,55.364,33.943,-118.408,470
33.943,-118.408,25.253,55.364,471
25.253,55.364,52.309,4.764,472
52.309,4.764,25.253,55.364,473
25.253,55.364,-33.946,151.177,474
-33.946,151.177,25.253,55.364,475
25.253,55.364,41.261,28.742,476
41.261,28.742,25.253,55.364,477
25.253,55.364,14.509,121.02,478
14.509,121.02,25.253,55.364,479
25.253,55.364,29.984,-95.341,480
29.984,-95.341,25.253,55.364,481
25.253,55.364,21.68,39.157,482
21.68,39.157,25.253,55.364,483
25.253,55.364,28.567,77.103,484
28.567,77.103,25.253,55.364,485
25.253,55.364,29.227,47.969,486
29.227,47.969,25.253,55.364,487
25.253,55.364,21.68,39.157,488
21.68,39.157,25.253,55.364,489
25.253,55.364,19.089,72.868,490
19.089,72.868,25.253,55.364,491
25.253,55.364,23.392,113.299,492
23.392,113.299,25.253,55.364,493
25.253,55.364,13.681,100.747,494
13.681,100.747,25.253,55.364,495
25.253,55.364,41.8,12.239,496
41.8,12.239,25.253,55.364,497
25.253,55.364,55.409,37.906,498
55.409,37.906,25.253,55.364,499
25.253,55.364,-31.94,115.967,500
-31.94,115.967,25.253,55.364,501
25.253,55.364,14.509,121.02,502
14.509,121.02,25.253,55.364,503
25.253,55.364,47.458,8.548,504
47.458,8.548,25.253,55.364,505
25.253,55.364,51.148,-0.19,506
51.148,-0.19,25.253,55.364,507
25.253,55.364,51.471,-0.462,508
51.471,-0.462,25.253,55.364,509
25.253,55.364,13.681,100.747,510
13.681,100.747,25.253,55.364,511
25.253,55.364,49.013,2.55,512
49.013,2.55,25.253,55.364,513
25.253,55.364,13.681,100.747,514
13.681,100.747,25.253,55.364,515
25.253,55.364,19.089,72.868,516
19.089,72.868,25.253,55.364,517
25.253,55.364,51.471,-0.462,518
51.471,-0.462,25.253,55.364,519
25.253,55.364,31.143,121.805,520
31.143,121.805,25.253,55.364,521
